token	corpus size	all contexts size	frequency	co-frequency	specificity
estatales	121105	14678	3	2	1.41
distribución	121105	14678	3	2	1.41
disputa	121105	14678	3	2	1.41
modelar	121105	14678	3	2	1.41
acercamiento	121105	14678	3	2	1.41
efectivas	121105	14678	3	2	1.41
galerías	121105	14678	3	2	1.41
colectiva	121105	14678	3	2	1.41
portugueses	121105	14678	3	2	1.41
acuarela	121105	14678	3	2	1.41
seda	121105	14678	3	2	1.41
juntos	121105	14678	3	2	1.41
atractivo	121105	14678	3	2	1.41
toques	121105	14678	3	2	1.41
sales	121105	14678	3	2	1.41
magnesio	121105	14678	3	2	1.41
consumir	121105	14678	3	2	1.41
disminuye	121105	14678	3	2	1.41
ayudarán	121105	14678	3	2	1.41
glúteos	121105	14678	3	2	1.41
tonificar	121105	14678	3	2	1.41
Comienza	121105	14678	3	2	1.41
arroyo	121105	14678	3	2	1.41
oh	121105	14678	3	2	1.41
Están	121105	14678	3	2	1.41
cubierto	121105	14678	3	2	1.41
tierno	121105	14678	3	2	1.41
risa	121105	14678	3	2	1.41
Estás	121105	14678	3	2	1.41
crema	121105	14678	3	2	1.41
bandejas	121105	14678	3	2	1.41
enfriado	121105	14678	3	2	1.41
›	121105	14678	3	2	1.41
blandas	121105	14678	3	2	1.41
comenzado	121105	14678	3	2	1.41
escribió	121105	14678	3	2	1.41
negó	121105	14678	3	2	1.41
Antecedentes	121105	14678	3	2	1.41
frenada	121105	14678	3	2	1.41
atmosférico	121105	14678	3	2	1.41
reconfortado	121105	14678	3	2	1.41
hervir	121105	14678	3	2	1.41
nata	121105	14678	3	2	1.41
político	121105	14678	3	2	1.41
unen	121105	14678	3	2	1.41
destinado	121105	14678	3	2	1.41
básico	121105	14678	3	2	1.41
terreno	121105	14678	3	2	1.41
actuación	121105	14678	3	2	1.41
mostraban	121105	14678	3	2	1.41
refugio	121105	14678	3	2	1.41
afecta	121105	14678	3	2	1.41
frecuentemente	121105	14678	3	2	1.41
contextos	121105	14678	3	2	1.41
negativas	121105	14678	3	2	1.41
realizarse	121105	14678	3	2	1.41
Importancia	121105	14678	3	2	1.41
accesibles	121105	14678	3	2	1.41
informativas	121105	14678	3	2	1.41
ampliamente	121105	14678	3	2	1.41
brindar	121105	14678	3	2	1.41
desconocida	121105	14678	3	2	1.41
malentendidos	121105	14678	3	2	1.41
permiso	121105	14678	3	2	1.41
explícito	121105	14678	3	2	1.41
asociadas	121105	14678	3	2	1.41
optar	121105	14678	3	2	1.41
periódica	121105	14678	3	2	1.41
llenas	121105	14678	3	2	1.41
hermosas	121105	14678	3	2	1.41
Mantequilla	121105	14678	3	2	1.41
cacahuate	121105	14678	3	2	1.41
maní	121105	14678	3	2	1.41
silenciosa	121105	14678	3	2	1.41
LEER	121105	14678	3	2	1.41
opulencia	121105	14678	3	2	1.41
destructiva	121105	14678	3	2	1.41
Gatsby	121105	14678	3	2	1.41
encantado	121105	14678	3	2	1.41
alberga	121105	14678	3	2	1.41
levantar	121105	14678	3	2	1.41
Chaol	121105	14678	3	2	1.41
sensibles	121105	14678	3	2	1.41
yemas	121105	14678	3	2	1.41
encontraron	121105	14678	3	2	1.41
míos	121105	14678	3	2	1.41
Cómo	121105	14678	50	10	1.40
se	121105	14678	884	108	1.39
por	121105	14678	817	101	1.38
piel	121105	14678	24	6	1.38
Noticias	121105	14678	18	5	1.38
horas	121105	14678	18	5	1.38
importante	121105	14678	44	9	1.36
color	121105	14678	58	11	1.36
estos	121105	14678	58	11	1.36
manos	121105	14678	31	7	1.34
10	121105	14678	88	15	1.34
mientras	121105	14678	45	9	1.32
2018	121105	14678	13	4	1.32
pasar	121105	14678	13	4	1.32
procesos	121105	14678	13	4	1.32
evaluar	121105	14678	13	4	1.32
Se	121105	14678	67	12	1.31
regulatorias	121105	14678	19	5	1.30
tesis	121105	14678	19	5	1.30
posibles	121105	14678	19	5	1.30
usted	121105	14678	19	5	1.30
Comments	121105	14678	8	3	1.28
frizz	121105	14678	8	3	1.28
sección	121105	14678	8	3	1.28
magia	121105	14678	8	3	1.28
Share	121105	14678	8	3	1.28
comunes	121105	14678	8	3	1.28
colocar	121105	14678	8	3	1.28
cabo	121105	14678	8	3	1.28
saludable	121105	14678	8	3	1.28
Salsa	121105	14678	8	3	1.28
mí	121105	14678	26	6	1.26
aún	121105	14678	26	6	1.26
qué	121105	14678	100	16	1.25
interés	121105	14678	33	7	1.24
forma	121105	14678	77	13	1.24
todavía	121105	14678	20	5	1.23
concepto	121105	14678	14	4	1.23
limpieza	121105	14678	14	4	1.23
bienestar	121105	14678	14	4	1.23
luego	121105	14678	14	4	1.23
arriba	121105	14678	14	4	1.23
relacionada	121105	14678	14	4	1.23
manejo	121105	14678	14	4	1.23
prestamistas	121105	14678	14	4	1.23
información	121105	14678	63	11	1.21
stakeholders	121105	14678	27	6	1.21
muchos	121105	14678	27	6	1.21
media	121105	14678	21	5	1.17
novela	121105	14678	21	5	1.17
bonsáis	121105	14678	4	2	1.17
cálida	121105	14678	4	2	1.17
luminosidad	121105	14678	4	2	1.17
baños	121105	14678	4	2	1.17
Rosa	121105	14678	4	2	1.17
premisa	121105	14678	4	2	1.17
Biden	121105	14678	4	2	1.17
cifras	121105	14678	4	2	1.17
diría	121105	14678	4	2	1.17
mexicanos	121105	14678	4	2	1.17
plan	121105	14678	4	2	1.17
serían	121105	14678	4	2	1.17
Esquema	121105	14678	4	2	1.17
Mirar	121105	14678	4	2	1.17
Garnier	121105	14678	4	2	1.17
conocidos	121105	14678	4	2	1.17
brillantes	121105	14678	4	2	1.17
destacando	121105	14678	4	2	1.17
piano	121105	14678	4	2	1.17
norte	121105	14678	4	2	1.17
tradiciones	121105	14678	4	2	1.17
continúan	121105	14678	4	2	1.17
Escuchar	121105	14678	4	2	1.17
favorece	121105	14678	4	2	1.17
esquemas	121105	14678	4	2	1.17
comando	121105	14678	4	2	1.17
previamente	121105	14678	4	2	1.17
nación	121105	14678	4	2	1.17
usada	121105	14678	4	2	1.17
integración	121105	14678	4	2	1.17
difusión	121105	14678	4	2	1.17
existentes	121105	14678	4	2	1.17
efectividad	121105	14678	4	2	1.17
necesito	121105	14678	4	2	1.17
alegre	121105	14678	4	2	1.17
soltar	121105	14678	4	2	1.17
GABRIEL	121105	14678	4	2	1.17
enciende	121105	14678	4	2	1.17
Rafaela	121105	14678	4	2	1.17
mejilla	121105	14678	4	2	1.17
besó	121105	14678	4	2	1.17
chico	121105	14678	4	2	1.17
Amor	121105	14678	4	2	1.17
